D_foul1 (m),D_foul2 (m),D_foul3 (m),mfr1 (kg/s),mfr2 (kg/s),Inner inlet temperature (K),Inner outlet temperature (K),Outer inlet temperature (K),Outer outlet temperature (K),Inner Pressure Drop (Pa),Outer Pressure Drop (Pa)
6.93E-04,4.65E-04,0.001213,0.104,2.284,356.6,321.52,295.42,296.93,13.103,113.45
9.92E-04,9.60E-04,9.10E-04,1.782,1.156,355.05,351.99,305.44,309.51,1703.9,30.228
0.00109,6.80E-05,0.001416,0.556,0.82,353.63,342.83,296.92,303.67,229.16,16.469
7.60E-04,5.40E-05,8.73E-04,1.715,2.227,356.76,348.36,295.28,301.16,1524.2,99.927
0.001199,8.68E-04,3.40E-04,1.793,1.047,370.39,366.33,301.82,307.86,1744.1,23.421
6.02E-04,4.46E-04,8.93E-04,0.203,1.591,341.72,325.82,301.04,302.97,41.698,54.616
1.83E-04,5.46E-04,0.001314,1.02,1.603,352.74,344.29,291.52,296.46,548.08,58.164
0.001106,0.001141,4.97E-04,0.573,2.034,349.87,341.58,300.82,302.97,243.64,86.895
8.16E-04,4.09E-04,1.03E-04,1.867,1.173,348.22,344.97,303.48,308.06,1815.9,27.689
5.53E-04,6.80E-04,9.66E-04,0.448,2.105,345.31,333.33,297.44,299.86,154.7,95.277
6.30E-04,5.25E-04,9.82E-04,0.716,0.952,361.88,352.77,301.42,307.58,314.12,20.559
7.49E-04,9.90E-04,8.24E-04,1.536,2.051,356.27,352.02,307.46,310.25,1244.1,88.787
2.57E-04,0.0012,6.79E-04,1.308,2.198,348.45,343.69,298.04,300.56,866.19,103.38
7.64E-04,7.58E-04,0.001117,1.713,1.719,366.63,360.75,294.18,299.29,1486.8,65.672
8.16E-04,5.66E-04,2.25E-04,1.914,2.181,342.34,338.85,300.54,303.29,1925.4,92.983
0.001055,5.82E-04,8.09E-04,1.81,1.292,366.2,361.44,301.36,307.19,1737.9,36.062
8.95E-04,8.98E-04,3.16E-04,0.915,0.585,370.62,363.76,292.1,301.64,496.58,9.0758
9.38E-04,6.09E-04,0.001327,1.88,1.242,355.54,351.68,298,303.14,1854.9,35.581
5.23E-04,0.001201,7.74E-04,1.972,1.904,368.91,364.61,303.08,306.91,1814.5,78.368
5.15E-04,9.22E-04,2.63E-04,1.825,0.73,361.48,357.86,293.08,300.87,1598.2,12.98
8.60E-05,4.64E-04,0.001124,0.698,2.496,358.25,344.72,304.48,307.97,275.92,126.69
6.48E-04,0.001134,4.57E-04,1.548,2.353,348.28,345.01,308.6,310.54,1257.9,110.1
9.33E-04,7.16E-04,5.08E-04,0.839,0.843,344.46,339.74,301.22,305.52,457.72,16.228
1.47E-04,5.12E-04,9.78E-04,1.607,1.049,360.89,355.58,297.38,304.58,1189.3,24.654
0.001017,6.10E-05,0.001344,1.911,1.257,340.46,337.6,307.78,311.75,2005.4,35.018
4.85E-04,0.001023,2.43E-04,1.574,1.389,342.84,340.13,305.04,307.82,1270.8,40.408
2.36E-04,2.38E-04,6.04E-04,1.364,1.286,365.77,358.28,309.86,316.92,896.45,33.804
7.96E-04,9.69E-04,0.001187,1.147,2.141,367.82,360.36,302.14,305.69,731.53,100.89
6.63E-04,9.27E-04,9.46E-04,0.166,1.045,347.62,330.08,297.6,300.22,28.752,25.732
4.08E-04,2.79E-04,3.58E-04,0.52,1.941,352.8,340.07,309.5,312.66,181.62,72.834
7.84E-04,5.08E-04,0.001015,1.947,0.654,359.14,355.67,292.68,301.84,1900.5,11.318
7.49E-04,7.87E-04,9.19E-04,0.537,1.183,348.18,340.02,301.24,304.69,205.29,31.55
0.00119,7.40E-05,0.001278,1.814,1.458,361.42,355.22,297.2,304.12,1812.4,46.269
2.68E-04,0.001243,5.62E-04,0.163,2.418,370.72,338.45,294.66,296.66,25.617,123.85
6.03E-04,9.10E-05,0.00122,0.246,2.403,352.01,324.71,290.96,293.61,60.406,122.79
1.55E-04,5.46E-04,0.001422,1.867,0.954,341.65,339.06,303.54,308.01,1620,21.669
8.61E-04,3.72E-04,0.001204,0.683,2.311,345.08,333.77,290.6,293.75,320.88,115.59
0.001019,0.001014,8.47E-04,0.548,1.75,352.77,343.53,301.24,303.91,220.35,67.098
7.68E-04,4.60E-04,0.001295,1.417,2.483,369.73,361.32,307.16,311.44,1056.8,124.73
6.57E-04,5.68E-04,5.51E-04,0.906,1.427,363.66,353.92,293.72,299.26,475.13,42.845
3.77E-04,8.42E-04,0.001402,0.1,2.475,344.39,317.38,293.36,294.41,11.98,138.71
9.37E-04,8.10E-04,0.001183,0.119,0.574,361.22,337.96,304.72,309.2,16.068,9.1269
3.04E-04,3.72E-04,5.81E-04,1.295,1.521,348.02,342.57,305.28,309.49,860.61,47.464
0.001163,7.20E-04,5.29E-04,0.113,1.948,348.28,324.64,301.32,302.61,15.977,78.435
8.61E-04,5.46E-04,3.72E-04,0.546,2.219,355.18,340.51,290.04,293.39,213.81,99.246
8.31E-04,3.51E-04,9.43E-04,1.149,2.418,358.45,349.29,300.56,304.5,756.57,118.74
6.02E-04,7.18E-04,8.84E-04,1.248,2.118,347.39,341.66,296.98,300.06,855.86,95.602
3.04E-04,7.14E-04,0.001008,1.453,0.616,365.91,361.45,301.68,311.01,1012.7,9.7858
4.98E-04,1.78E-04,9.68E-04,1.305,1.769,347.33,340.19,297.88,302.69,909.93,65.636
0.001016,5.53E-04,0.001376,1.761,1.009,352.84,349.25,297.26,302.82,1685.3,24.209
0.001098,6.54E-04,8.79E-04,0.82,0.642,350.36,344.62,291.84,298.57,447.53,11.281
0.001022,5.97E-04,0.001295,0.379,2.296,351.58,336.56,299.36,301.7,130.18,114.99
2.59E-04,3.87E-04,4.59E-04,1.43,2.416,359.64,350.22,292,297.06,995.32,115.26
9.93E-04,0.001071,7.33E-04,1.299,0.549,345.15,342.71,303.7,308.82,992.51,8.2745
0.001138,0.001053,7.44E-04,1.744,1.952,342.57,340,304.94,306.96,1735.6,81.263
3.67E-04,5.60E-05,0.001241,1.702,0.744,356.53,351.72,297.44,307.39,1386.8,13.432
0.001036,0.001177,1.90E-04,1.356,1.467,368.12,363.18,305.94,309.94,1029.6,44.693
6.41E-04,5.88E-04,3.94E-04,0.843,2.25,340.2,332.63,293.1,295.76,444.86,102.22
9.85E-04,0.001051,0.001033,0.866,0.402,367.39,362.47,305.88,315.36,460.71,4.9535
9.03E-04,0.00117,6.46E-04,0.22,2.132,361.19,342.69,308.24,310,49.983,94.748
2.59E-04,2.98E-04,6.11E-04,1.856,2.055,347.95,342.69,301.84,306.15,1617.1,84.309
8.23E-04,9.03E-04,0.00108,1.679,0.404,341.88,340.24,302.2,308.42,1524.2,5.2389
5.97E-04,0.001015,7.81E-04,0.493,1.853,341.62,334.55,306.82,308.58,179.01,73.591
4.80E-04,5.86E-04,0.001204,1.641,1.551,363.99,357.88,297.98,303.72,1309.6,53.47
2.62E-04,3.63E-04,9.49E-04,0.242,1.78,348.02,327.77,296.7,299.3,54.062,67.942
4.32E-04,9.16E-04,0.001141,0.59,0.858,352.05,344.6,301.94,306.66,222.53,17.938
0.001002,3.24E-04,8.80E-04,0.845,2.095,351.29,342.63,305.22,308.4,464.04,89.612
9.93E-04,4.58E-04,0.001131,1.44,2.004,346.7,341.13,293.78,297.42,1192.7,87.183
